county,year ,fuel_type,price_MMBtu,fuel_scen_id
Hawaii,2013,Biocrude,50.27,1
Hawaii,2014,Biocrude,46.08,1
Hawaii,2015,Biocrude,43.99,1
Hawaii,2016,Biocrude,43.78,1
Hawaii,2017,Biocrude,43.57,1
Hawaii,2018,Biocrude,43.36,1
Hawaii,2019,Biocrude,43.15,1
Hawaii,2020,Biocrude,42.94,1
Hawaii,2021,Biocrude,42.73,1
Hawaii,2022,Biocrude,42.52,1
Hawaii,2023,Biocrude,42.31,1
Hawaii,2024,Biocrude,42.1,1
Hawaii,2025,Biocrude,41.89,1
Hawaii,2026,Biocrude,41.68,1
Hawaii,2027,Biocrude,41.47,1
Hawaii,2028,Biocrude,41.26,1
Hawaii,2029,Biocrude,41.05,1
Hawaii,2030,Biocrude,40.85,1
Hawaii,2031,Biocrude,40.64,1
Hawaii,2032,Biocrude,40.43,1
Hawaii,2033,Biocrude,40.22,1
Hawaii,2013,Biocrude,50.89,2
Hawaii,2014,Biocrude,52.27,2
Hawaii,2015,Biocrude,52.23,2
Hawaii,2016,Biocrude,52.43,2
Hawaii,2017,Biocrude,52.15,2
Hawaii,2018,Biocrude,52.2,2
Hawaii,2019,Biocrude,51.97,2
Hawaii,2020,Biocrude,52.06,2
Hawaii,2021,Biocrude,52.32,2
Hawaii,2022,Biocrude,52.42,2
Hawaii,2023,Biocrude,52.49,2
Hawaii,2024,Biocrude,52.56,2
Hawaii,2025,Biocrude,52.63,2
Hawaii,2026,Biocrude,52.71,2
Hawaii,2027,Biocrude,52.78,2
Hawaii,2028,Biocrude,52.85,2
Hawaii,2029,Biocrude,52.92,2
Hawaii,2030,Biocrude,53,2
Hawaii,2031,Biocrude,53.07,2
Hawaii,2032,Biocrude,53.14,2
Hawaii,2033,Biocrude,53.21,2
Maui,2013,Biocrude,49.78,1
Maui,2014,Biocrude,45.63,1
Maui,2015,Biocrude,43.56,1
Maui,2016,Biocrude,43.35,1
Maui,2017,Biocrude,43.15,1
Maui,2018,Biocrude,42.94,1
Maui,2019,Biocrude,42.73,1
Maui,2020,Biocrude,42.52,1
Maui,2021,Biocrude,42.32,1
Maui,2022,Biocrude,42.11,1
Maui,2023,Biocrude,41.9,1
Maui,2024,Biocrude,41.69,1
Maui,2025,Biocrude,41.49,1
Maui,2026,Biocrude,41.28,1
Maui,2027,Biocrude,41.07,1
Maui,2028,Biocrude,40.86,1
Maui,2029,Biocrude,40.66,1
Maui,2030,Biocrude,40.45,1
Maui,2031,Biocrude,40.24,1
Maui,2032,Biocrude,40.03,1
Maui,2033,Biocrude,39.83,1
Maui,2013,Biocrude,50.39,2
Maui,2014,Biocrude,51.76,2
Maui,2015,Biocrude,51.72,2
Maui,2016,Biocrude,51.92,2
Maui,2017,Biocrude,51.64,2
Maui,2018,Biocrude,51.69,2
Maui,2019,Biocrude,51.46,2
Maui,2020,Biocrude,51.55,2
Maui,2021,Biocrude,51.81,2
Maui,2022,Biocrude,51.91,2
Maui,2023,Biocrude,51.98,2
Maui,2024,Biocrude,52.05,2
Maui,2025,Biocrude,52.12,2
Maui,2026,Biocrude,52.2,2
Maui,2027,Biocrude,52.27,2
Maui,2028,Biocrude,52.34,2
Maui,2029,Biocrude,52.41,2
Maui,2030,Biocrude,52.48,2
Maui,2031,Biocrude,52.55,2
Maui,2032,Biocrude,52.62,2
