timepoint_label	lz_demand_mw_as_consumption	DumpPower	LZ_NetDispatch
2007-01-30-00:00	-682.140014648	0.0	682.140014648
2007-01-30-01:00	-643.770019531	0.0	643.770019531
2007-01-30-02:00	-632.400024414	0.0	632.400024414
2007-01-30-03:00	-661.369995117	0.0	661.369995117
2007-01-30-04:00	-724.239990234	0.0	724.2399902340001
2007-01-30-05:00	-848.130004883	0.0	848.1300048830001
2007-01-30-06:00	-978.140014648	0.0	978.1400146479998
2007-01-30-07:00	-1003.14001465	0.0	1003.1400146499998
2007-01-30-08:00	-1051.32995605	0.0	1051.3299560499997
2007-01-30-09:00	-1077.45996094	0.0	1077.45996094
2007-01-30-10:00	-1085.02001953	0.0	1085.0200195299997
2007-01-30-11:00	-1099.76000977	0.0	1099.7600097699997
2007-01-30-12:00	-1107.25	0.0	1107.2499999999998
2007-01-30-13:00	-1095.47998047	0.0	1095.47998047
2007-01-30-14:00	-1096.16003418	0.0	1096.1600341799997
2007-01-30-15:00	-1090.02001953	0.0	1090.0200195299997
2007-01-30-16:00	-1092.34997559	0.0	1092.3499755899998
2007-01-30-17:00	-1120.32995605	0.0	1120.32995605
2007-01-30-18:00	-1188.41003418	0.0	1188.4100341799997
2007-01-30-19:00	-1125.72998047	0.0	1125.7299804699999
2007-01-30-20:00	-1044.93994141	0.0	1044.9399414099998
2007-01-30-21:00	-950.559997559	0.0	950.5599975590001
2007-01-30-22:00	-835.159973145	0.0	835.1599731449999
2007-01-30-23:00	-739.869995117	0.0	739.8699951169999
2007-02-17-00:00	-715.020019531	0.0	715.0200195309999
2007-02-17-01:00	-676.679992676	0.0	676.679992676
2007-02-17-02:00	-657.390014648	0.0	657.390014648
2007-02-17-03:00	-655.849975586	0.0	655.849975586
2007-02-17-04:00	-668.530029297	0.0	668.530029297
2007-02-17-05:00	-723.869995117	0.0	723.8699951169999
2007-02-17-06:00	-798.780029297	0.0	798.780029297
2007-02-17-07:00	-895.909973145	0.0	895.9099731450001
2007-02-17-08:00	-978.489990234	0.0	978.4899902339998
2007-02-17-09:00	-1023.96002197	0.0	1023.9600219699998
2007-02-17-10:00	-1038.83996582	0.0	1038.8399658199999
2007-02-17-11:00	-1031.02001953	0.0	1031.02001953
2007-02-17-12:00	-1011.7800293	0.0	1011.7800292999998
2007-02-17-13:00	-992.25	0.0	992.2499999999998
2007-02-17-14:00	-985.390014648	0.0	985.3900146479998
2007-02-17-15:00	-985.869995117	0.0	985.8699951170001
2007-02-17-16:00	-994.520019531	0.0	994.5200195309999
2007-02-17-17:00	-1004.57000732	0.0	1004.5700073199998
2007-02-17-18:00	-1044.72998047	0.0	1044.7299804699999
2007-02-17-19:00	-1013.21002197	0.0	1013.2100219699998
2007-02-17-20:00	-967.340026855	0.0	967.3400268549999
2007-02-17-21:00	-909.450012207	0.0	909.4500122069999
2007-02-17-22:00	-828.909973145	0.0	828.9099731449999
2007-02-17-23:00	-747.140014648	0.0	747.140014648
2007-03-12-00:00	-703.289978027	0.0	703.2899780269997
2007-03-12-01:00	-671.799987793	0.0	671.799987793
2007-03-12-02:00	-658.059997559	0.0	658.059997559
2007-03-12-03:00	-669.010009766	0.0	669.010009766
2007-03-12-04:00	-732.510009766	0.0	732.5100097659999
2007-03-12-05:00	-858.590026855	0.0	858.5900268550001
2007-03-12-06:00	-985.599975586	0.0	985.5999755859998
2007-03-12-07:00	-1028.08996582	0.0	1028.0899658199999
2007-03-12-08:00	-1084.18005371	0.0	1084.1800537099998
2007-03-12-09:00	-1119.39001465	0.0	1119.39001465
2007-03-12-10:00	-1136.94995117	0.0	1136.9499511699998
2007-03-12-11:00	-1143.31994629	0.0	1143.3199462899997
2007-03-12-12:00	-1154.73999023	0.0	1154.7399902299999
2007-03-12-13:00	-1148.9699707	0.0	1148.9699707
