PROJECT	proj_capacity_limit_mw
Oahu_Wind_101_na	20.0
Oahu_Wind_102_na	305.0
Oahu_Wind_103_na	100.0
Oahu_Wind_104_na	27.5
Oahu_Wind_105_na	17.5
Oahu_Wind_106_na	60.0
Oahu_Wind_107_na	20.0
Oahu_Wind_201_na	37.5
Oahu_Wind_202_na	220.0
Oahu_Wind_203_na	50.0
Oahu_Wind_204_na	15.0
Oahu_Wind_205_na	20.0
Oahu_Wind_206_na	10.0
Oahu_Wind_207_na	120.0
Oahu_Wind_208_na	82.5
Oahu_Wind_209_na	2.5
Oahu_Wind_301_na	120.0
Oahu_Wind_302_na	52.5
Oahu_Wind_303_na	15.0
Oahu_Wind_304_na	57.5
Oahu_Wind_305_na	170.0
Oahu_Wind_306_na	27.5
Oahu_Wind_307_na	75.0
Oahu_Wind_308_na	32.5
Oahu_Wind_309_na	2.5
Oahu_Wind_401_na	212.5
Oahu_Wind_402_na	52.5
Oahu_Wind_403_na	47.5
Oahu_Wind_404_na	50.0
Oahu_Wind_405_na	45.0
Oahu_Wind_406_na	42.5
Oahu_Wind_407_na	12.5
Oahu_Wind_408_na	15.0
Oahu_Wind_409_na	50.0
Oahu_Wind_410_na	2.5
Oahu_Wind_501_na	242.5
Oahu_Wind_502_na	42.5
Oahu_Wind_503_na	117.5
Oahu_Wind_504_na	20.0
Oahu_Wind_505_na	42.5
Oahu_Wind_506_na	7.5
Oahu_Wind_507_na	10.0
Oahu_Wind_508_na	2.5
Oahu_Wind_509_na	2.5
Oahu_DistPV_1_na	3022.50897847
Oahu_CentralPV_1_na	0.14408937
Oahu_CentralPV_2_na	5.29123959
Oahu_CentralPV_3_na	16.85113749
Oahu_CentralPV_4_na	43.11531518
Oahu_CentralPV_5_na	32.13681447
Oahu_CentralPV_6_na	0.02829969
Oahu_CentralPV_7_na	15.29255669
Oahu_CentralPV_8_na	12.08055423
Oahu_CentralPV_9_na	16.47499238
Oahu_CentralPV_10_na	0.76149036
Oahu_CentralPV_11_na	35.47722385
Oahu_CentralPV_12_na	24.52556394
Oahu_CentralPV_13_na	0.172286595
Oahu_CentralPV_14_na	1.38955761
Oahu_CentralPV_15_na	16.00242995
Oahu_CentralPV_16_na	15.83090972
Oahu_CentralPV_17_na	44.56025235
Oahu_CentralPV_18_na	61.71450093
Oahu_CentralPV_19_na	2.259935315
Oahu_CentralPV_20_na	3.04862346
Oahu_CentralPV_21_na	0.122359783
Oahu_CentralPV_22_na	62.54561119
Oahu_CentralPV_23_na	24.82932558
Oahu_CentralPV_24_na	5.520098816
Oahu_CentralPV_25_na	48.39648702
Oahu_CentralPV_26_na	2.73098088
Oahu_CentralPV_27_na	25.23830124
Oahu_CentralPV_28_na	0.48700575
Oahu_CentralPV_29_na	15.07686984
Oahu_CentralPV_30_na	86.50606067
Oahu_CentralPV_31_na	24.19069794
Oahu_CentralPV_32_na	0.0269073
Oahu_CentralPV_33_na	54.37469678
Oahu_CentralPV_34_na	61.11939937
Oahu_CentralPV_35_na	11.82168621
Oahu_CentralPV_36_na	0.606279927
Oahu_CentralPV_37_na	0.378
Oahu_CentralPV_38_na	51.4283206
Oahu_CentralPV_39_na	88.62058268
Oahu_CentralPV_40_na	15.68524284
Oahu_CentralPV_41_na	0.37299546
Oahu_CentralPV_42_na	42.18022636
Oahu_CentralPV_43_na	51.50922388
Oahu_CentralPV_44_na	25.58109096
Oahu_CentralPV_45_na	32.13943208
Oahu_CentralPV_46_na	46.25911636
Oahu_CentralPV_47_na	78.7359601
Oahu_CentralPV_48_na	26.30318437
Oahu_CentralPV_49_na	0.036
Oahu_CentralPV_50_na	0.03032973
Oahu_CentralPV_51_na	60.60265777
Oahu_CentralPV_52_na	89.08251104
Oahu_CentralPV_53_na	11.36497489
Oahu_CentralPV_54_na	3.560373879
Oahu_CentralPV_55_na	19.83631816
Oahu_CentralPV_56_na	76.99506954
Oahu_CentralPV_57_na	33.38524179
Oahu_CentralPV_58_na	2.9420028
Oahu_CentralPV_59_na	79.15219719
Oahu_CentralPV_60_na	70.08736153
Oahu_CentralPV_61_na	57.0124971
Oahu_CentralPV_62_na	78.56409496
Oahu_CentralPV_63_na	29.13962008
Oahu_CentralPV_64_na	1.364654421
Oahu_CentralPV_65_na	0.258412678
Oahu_CentralPV_66_na	68.38080908
Oahu_CentralPV_67_na	88.62131993
Oahu_CentralPV_68_na	12.38812457
Oahu_CentralPV_69_na	6.134650754
Oahu_CentralPV_70_na	30.72289128
Oahu_CentralPV_71_na	54.98563844
Oahu_CentralPV_72_na	60.87137166
Oahu_CentralPV_73_na	38.89296437
Oahu_CentralPV_74_na	85.32434818
Oahu_CentralPV_75_na	28.09648638
Oahu_CentralPV_76_na	33.82545486
Oahu_CentralPV_77_na	37.89661735
Oahu_CentralPV_78_na	0.197768849
Oahu_CentralPV_79_na	0.09
Oahu_CentralPV_80_na	1.8745794
Oahu_CentralPV_81_na	22.88147675
Oahu_CentralPV_82_na	83.7343434
Oahu_CentralPV_83_na	88.6217005
Oahu_CentralPV_84_na	15.68689132
Oahu_CentralPV_85_na	6.57669834
