LOAD_ZONE	TIMEPOINT	demand_mw
Oahu	1501238220.0	720.120687286
Oahu	1501228220.0	818.097766888
Oahu	1501218220.0	928.659995508
Oahu	1501208220.0	1023.60771457
Oahu	1501198220.0	1088.7088736
Oahu	1501188220.0	1142.11953274
Oahu	1501178220.0	1078.32972746
Oahu	1501168220.0	1058.84202434
Oahu	1501158220.0	1068.36728592
Oahu	1501148220.0	1070.70544794
Oahu	1501138220.0	1073.85679199
Oahu	1501128220.0	1076.66253678
Oahu	1501118220.0	1068.99755473
Oahu	1501108220.0	1067.42182066
Oahu	1501098220.0	1046.99895201
Oahu	1501088220.0	1020.1208228
Oahu	1501078220.0	968.407881235
Oahu	1501068220.0	946.073854887
Oahu	1501058220.0	824.034566505
Oahu	1501048220.0	692.988415432
Oahu	1501038220.0	631.679044897
Oahu	1501028220.0	623.1195378
Oahu	1501018220.0	639.374491801
Oahu	1501008220.0	670.817013081
Oahu	1503238300.0	739.089929469
Oahu	1503228300.0	829.3817378
Oahu	1503218300.0	938.083624845
Oahu	1503208300.0	1013.48264904
Oahu	1503198300.0	1071.5593325
Oahu	1503188300.0	1077.22157615
Oahu	1503178300.0	1023.77033857
Oahu	1503168300.0	1011.2767082
Oahu	1503158300.0	993.181701846
Oahu	1503148300.0	987.305956029
Oahu	1503138300.0	988.01756786
Oahu	1503128300.0	992.459976428
Oahu	1503118300.0	987.478755659
Oahu	1503108300.0	981.745282571
Oahu	1503098300.0	955.914250871
Oahu	1503088300.0	905.248344758
Oahu	1503078300.0	824.461508785
Oahu	1503068300.0	738.998410814
Oahu	1503058300.0	689.481234446
Oahu	1503048300.0	656.767999913
Oahu	1503038300.0	642.180236591
Oahu	1503028300.0	646.998771317
Oahu	1503018300.0	666.679563284
Oahu	1503008300.0	706.203833261
Oahu	1504237100.0	740.0
Oahu	1504227100.0	841.960021973
Oahu	1504217100.0	960.510009766
Oahu	1504207100.0	1054.95996094
Oahu	1504197100.0	1114.29003906
Oahu	1504187100.0	1139.36999512
Oahu	1504177100.0	1103.31005859
Oahu	1504167100.0	1097.68994141
Oahu	1504157100.0	1110.61999512
Oahu	1504147100.0	1125.47998047
Oahu	1504137100.0	1131.81994629
Oahu	1504127100.0	1134.59997559
Oahu	1504117100.0	1121.5300293
Oahu	1504107100.0	1116.5300293
Oahu	1504097100.0	1091.45996094
Oahu	1504087100.0	1057.04003906
Oahu	1504077100.0	997.91998291
Oahu	1504067100.0	956.039978027
Oahu	1504057100.0	845.539978027
Oahu	1504047100.0	713.840026855
Oahu	1504037100.0	655.630004883
Oahu	1504027100.0	648.210021973
Oahu	1504017100.0	662.450012207
Oahu	1504007100.0	695.489990234
Oahu	1505237150.0	739.159973145
Oahu	1505227150.0	843.450012207
Oahu	1505217150.0	964.520019531
Oahu	1505207150.0	1055.70996094
Oahu	1505197150.0	1119.14001465
Oahu	1505187150.0	1099.05004883
Oahu	1505177150.0	1094.17004395
Oahu	1505167150.0	1110.61999512
Oahu	1505157150.0	1126.4699707
Oahu	1505147150.0	1132.44995117
Oahu	1505137150.0	1135.69995117
Oahu	1505127150.0	1139.85998535
Oahu	1505117150.0	1136.22998047
Oahu	1505107150.0	1121.83996582
Oahu	1505097150.0	1103.0300293
Oahu	1505087150.0	1069.82995605
Oahu	1505077150.0	1007.32000732
Oahu	1505067150.0	941.020019531
Oahu	1505057150.0	823.039978027
Oahu	1505047150.0	705.890014648
Oahu	1505037150.0	651.08001709
Oahu	1505027150.0	645.380004883
Oahu	1505017150.0	656.75
Oahu	1505007150.0	688.190002441
Oahu	1506238150.0	778.431162136
Oahu	1506228150.0	867.838559007
Oahu	1506218150.0	971.132283003
Oahu	1506208150.0	1023.19088588
Oahu	1506198150.0	1049.8352237
Oahu	1506188150.0	1033.10244925
Oahu	1506178150.0	1025.16303533
Oahu	1506168150.0	1037.41269867
Oahu	1506158150.0	1034.80010478
Oahu	1506148150.0	1026.94203388
Oahu	1506138150.0	1018.96197947
Oahu	1506128150.0	1014.38741176
Oahu	1506118150.0	1016.46119345
Oahu	1506108150.0	1007.5255602
Oahu	1506098150.0	982.680572199
Oahu	1506088150.0	928.924313792
Oahu	1506078150.0	853.332138705
Oahu	1506068150.0	758.618211027
Oahu	1506058150.0	699.362332963
Oahu	1506048150.0	676.011673967
Oahu	1506038150.0	661.129127506
Oahu	1506028150.0	668.682239635
Oahu	1506018150.0	694.208312564
Oahu	1506008150.0	731.648625216
Oahu	1507238020.0	838.378362811
Oahu	1507228020.0	939.354338098
Oahu	1507218020.0	1050.32315773
Oahu	1507208020.0	1136.94509903
Oahu	1507198020.0	1184.65281199
Oahu	1507188020.0	1154.70468176
Oahu	1507178020.0	1179.67159122
Oahu	1507168020.0	1203.68298388
Oahu	1507158020.0	1227.5316905
Oahu	1507148020.0	1228.75164968
Oahu	1507138020.0	1232.27911989
Oahu	1507128020.0	1224.44140025
Oahu	1507118020.0	1224.42104899
Oahu	1507108020.0	1207.62728278
Oahu	1507098020.0	1176.4389662
Oahu	1507088020.0	1133.90556286
Oahu	1507078020.0	1057.2764659
Oahu	1507068020.0	978.959889049
Oahu	1507058020.0	857.500053356
Oahu	1507048020.0	773.480468267
Oahu	1507038020.0	715.048009909
Oahu	1507028020.0	712.770901688
Oahu	1507018020.0	735.603099749
Oahu	1507008020.0	772.280922402
Oahu	1508237060.0	811.479980469
