timepoint_id	timestamp	timeseries
160100	2016-01-15-00:00	1601
160101	2016-01-15-01:00	1601
160102	2016-01-15-02:00	1601
160103	2016-01-15-03:00	1601
160104	2016-01-15-04:00	1601
160105	2016-01-15-05:00	1601
160106	2016-01-15-06:00	1601
160107	2016-01-15-07:00	1601
160108	2016-01-15-08:00	1601
160109	2016-01-15-09:00	1601
160110	2016-01-15-10:00	1601
160111	2016-01-15-11:00	1601
160112	2016-01-15-12:00	1601
160113	2016-01-15-13:00	1601
160114	2016-01-15-14:00	1601
160115	2016-01-15-15:00	1601
160116	2016-01-15-16:00	1601
160117	2016-01-15-17:00	1601
160118	2016-01-15-18:00	1601
160119	2016-01-15-19:00	1601
160120	2016-01-15-20:00	1601
160121	2016-01-15-21:00	1601
160122	2016-01-15-22:00	1601
160123	2016-01-15-23:00	1601
160700	2016-07-15-00:00	1607
160701	2016-07-15-01:00	1607
160702	2016-07-15-02:00	1607
160703	2016-07-15-03:00	1607
160704	2016-07-15-04:00	1607
160705	2016-07-15-05:00	1607
160706	2016-07-15-06:00	1607
160707	2016-07-15-07:00	1607
160708	2016-07-15-08:00	1607
160709	2016-07-15-09:00	1607
160710	2016-07-15-10:00	1607
160711	2016-07-15-11:00	1607
160712	2016-07-15-12:00	1607
160713	2016-07-15-13:00	1607
160714	2016-07-15-14:00	1607
160715	2016-07-15-15:00	1607
160716	2016-07-15-16:00	1607
160717	2016-07-15-17:00	1607
160718	2016-07-15-18:00	1607
160719	2016-07-15-19:00	1607
160720	2016-07-15-20:00	1607
160721	2016-07-15-21:00	1607
160722	2016-07-15-22:00	1607
160723	2016-07-15-23:00	1607
200100	2020-01-15-00:00	2001
200101	2020-01-15-01:00	2001
200102	2020-01-15-02:00	2001
200103	2020-01-15-03:00	2001
200104	2020-01-15-04:00	2001
200105	2020-01-15-05:00	2001
200106	2020-01-15-06:00	2001
200107	2020-01-15-07:00	2001
200108	2020-01-15-08:00	2001
200109	2020-01-15-09:00	2001
200110	2020-01-15-10:00	2001
200111	2020-01-15-11:00	2001
200112	2020-01-15-12:00	2001
200113	2020-01-15-13:00	2001
200114	2020-01-15-14:00	2001
200115	2020-01-15-15:00	2001
200116	2020-01-15-16:00	2001
200117	2020-01-15-17:00	2001
200118	2020-01-15-18:00	2001
200119	2020-01-15-19:00	2001
200120	2020-01-15-20:00	2001
200121	2020-01-15-21:00	2001
200122	2020-01-15-22:00	2001
200123	2020-01-15-23:00	2001
200700	2020-07-15-00:00	2007
200701	2020-07-15-01:00	2007
200702	2020-07-15-02:00	2007
200703	2020-07-15-03:00	2007
200704	2020-07-15-04:00	2007
200705	2020-07-15-05:00	2007
200706	2020-07-15-06:00	2007
200707	2020-07-15-07:00	2007
200708	2020-07-15-08:00	2007
200709	2020-07-15-09:00	2007
200710	2020-07-15-10:00	2007
200711	2020-07-15-11:00	2007
200712	2020-07-15-12:00	2007
200713	2020-07-15-13:00	2007
200714	2020-07-15-14:00	2007
200715	2020-07-15-15:00	2007
200716	2020-07-15-16:00	2007
200717	2020-07-15-17:00	2007
200718	2020-07-15-18:00	2007
200719	2020-07-15-19:00	2007
200720	2020-07-15-20:00	2007
200721	2020-07-15-21:00	2007
200722	2020-07-15-22:00	2007
200723	2020-07-15-23:00	2007
