LOAD_ZONE	TIMEPOINT	lz_demand_mw
Oahu	150123	548.367922733
Oahu	150122	669.633929373
Oahu	150121	802.677483466
Oahu	150120	910.910264595
Oahu	150119	991.4069299
Oahu	150118	1060.05056146
Oahu	150117	987.100149588
Oahu	150116	955.145154748
Oahu	150115	949.281440937
Oahu	150114	940.843836177
Oahu	150113	953.324440725
Oahu	150112	960.506597336
Oahu	150111	960.192696981
Oahu	150110	950.160453894
Oahu	150109	919.812512386
Oahu	150108	841.563422671
Oahu	150107	729.72699496
Oahu	150106	654.74251492
Oahu	150105	557.307798716
Oahu	150104	466.138597974
Oahu	150103	417.207847406
Oahu	150102	418.538781847
Oahu	150101	440.86333525
Oahu	150100	483.892820451
Oahu	150723	626.403581665
Oahu	150722	747.820254344
Oahu	150721	878.515763276
Oahu	150720	963.155897941
Oahu	150719	1012.04894368
Oahu	150718	957.216927746
Oahu	150717	953.512811593
Oahu	150716	944.899404241
Oahu	150715	926.115656039
Oahu	150714	911.487868838
Oahu	150713	908.399061754
Oahu	150712	908.926469529
Oahu	150711	911.173968482
Oahu	150710	896.60902266
Oahu	150709	871.685288484
Oahu	150708	809.545586451
Oahu	150707	709.386236623
Oahu	150706	600.349852192
Oahu	150705	536.803882699
Oahu	150704	504.723205099
Oahu	150703	487.910760323
Oahu	150702	499.449740442
Oahu	150701	524.360829706
Oahu	150700	576.192093125
Oahu	200123	508.314338231
Oahu	200122	631.858659821
Oahu	200121	784.76551489
Oahu	200120	889.224846376
Oahu	200119	974.893256032
Oahu	200118	1047.85171681
Oahu	200117	966.206128499
Oahu	200116	908.430074104
Oahu	200115	907.267342021
Oahu	200114	923.812985294
Oahu	200113	925.176222179
Oahu	200112	930.829511378
Oahu	200111	925.804329169
Oahu	200110	918.761047359
Oahu	200109	909.365627229
Oahu	200108	886.017258966
Oahu	200107	839.400789618
Oahu	200106	819.727826114
Oahu	200105	656.302870851
Oahu	200104	495.337158385
Oahu	200103	409.962735429
Oahu	200102	392.949274808
Oahu	200101	412.528756414
Oahu	200100	443.548513478
Oahu	200723	665.53800134
Oahu	200722	794.855931325
Oahu	200721	941.842103076
Oahu	200720	1051.66081863
Oahu	200719	1117.78988027
Oahu	200718	1082.82748747
Oahu	200717	1106.63029522
Oahu	200716	1134.62951024
Oahu	200715	1164.86070753
Oahu	200714	1180.49747183
Oahu	200713	1183.67830352
Oahu	200712	1176.75542248
Oahu	200711	1164.49983152
Oahu	200710	1144.98723923
Oahu	200709	1111.33457186
Oahu	200708	1055.32276396
Oahu	200707	956.930945994
Oahu	200706	843.530552291
Oahu	200705	700.112762394
Oahu	200704	573.253993633
Oahu	200703	505.748317246
Oahu	200702	496.299385664
Oahu	200701	525.434658614
Oahu	200700	572.385248251
Oahu	250123	554.162102725
Oahu	250122	688.67026718
Oahu	250121	835.658682426
Oahu	250120	949.05697199
Oahu	250119	1035.19281473
Oahu	250118	1073.52175608
Oahu	250117	978.95810182
Oahu	250116	968.578230211
Oahu	250115	998.990958209
Oahu	250114	1007.80924749
Oahu	250113	1018.24302343
Oahu	250112	1023.87043894
Oahu	250111	1022.83393087
Oahu	250110	1002.78759839
Oahu	250109	979.106174403
Oahu	250108	924.379386003
Oahu	250107	856.162708732
Oahu	250106	830.515830745
Oahu	250105	669.162485043
Oahu	250104	498.627488821
Oahu	250103	422.750397277
Oahu	250102	410.808778995
Oahu	250101	426.533479204
Oahu	250100	472.051664914
Oahu	250723	654.582183756
Oahu	250722	783.409028364
Oahu	250721	935.553607033
Oahu	250720	1060.2607963
Oahu	250719	1135.93591092
Oahu	250718	1100.8785355
Oahu	250717	1115.5262172
Oahu	250716	1130.8066175
Oahu	250715	1138.2786131
Oahu	250714	1149.08922638
Oahu	250713	1140.87686785
Oahu	250712	1144.90227278
Oahu	250711	1146.32942296
Oahu	250710	1144.4041507
Oahu	250709	1109.4544196
Oahu	250708	1067.15381332
Oahu	250707	988.422585765
Oahu	250706	922.063800332
Oahu	250705	766.486107067
Oahu	250704	603.099844776
Oahu	250703	528.259425654
Oahu	250702	524.166722477
Oahu	250701	544.724570948
Oahu	250700	591.925623746
Oahu	300123	558.48463357
Oahu	300122	681.42716552
Oahu	300121	814.180544799
Oahu	300120	913.448820303
Oahu	300119	984.048760702
Oahu	300118	1046.32512562
Oahu	300117	996.534082275
Oahu	300116	994.787466455
Oahu	300115	1011.76192049
Oahu	300114	1023.72872069
Oahu	300113	1051.53748962
Oahu	300112	1057.39130102
Oahu	300111	1051.86495927
Oahu	300110	1034.39930077
Oahu	300109	1010.52033415
Oahu	300108	943.932063474
Oahu	300107	842.289549757
Oahu	300106	797.206007485
Oahu	300105	643.561947029
Oahu	300104	482.071940399
Oahu	300103	398.168087597
Oahu	300102	390.376691936
Oahu	300101	409.834651773
Oahu	300100	455.068187135
Oahu	300723	708.403601885
Oahu	300722	831.141506948
Oahu	300721	950.345288307
Oahu	300720	1037.08735017
Oahu	300719	1095.50203846
Oahu	300718	1085.60932372
Oahu	300717	1111.08482979
Oahu	300716	1161.18968433
Oahu	300715	1177.52285752
Oahu	300714	1190.86782856
Oahu	300713	1186.5832397
Oahu	300712	1176.92255203
Oahu	300711	1169.28131602
Oahu	300710	1158.6790282
Oahu	300709	1129.32835362
Oahu	300708	1065.10082927
Oahu	300707	966.678461497
Oahu	300706	827.006994466
Oahu	300705	709.563404093
Oahu	300704	592.706544048
Oahu	300703	538.085156861
Oahu	300702	532.081269085
Oahu	300701	556.710700852
Oahu	300700	611.591432005
