PROJECT	proj_dbid	proj_gen_tech	proj_load_zone	proj_connect_cost_per_mw	proj_capacity_limit_mw	proj_variable_om
Oahu_AES_GEN1	.	AES_Coal_180_MW_ST	Oahu	0.0	.	4.47
Oahu_CCCT_Biodiesel	.	CCCT_Biodiesel	Oahu	136000.0	.	.
Oahu_CCCT_LNG	.	CCCT_LNG	Oahu	139000.0	.	.
Oahu_CIP_CIP1	.	CIP_Biodiesel_113_MW_GT	Oahu	0.0	.	4.935
Oahu_CentralPV_100_na	.	CentralPV	Oahu	22775895.45	0.604176705	.
Oahu_CentralPV_101_na	.	CentralPV	Oahu	22777534.19	18.24833434	.
Oahu_CentralPV_102_na	.	CentralPV	Oahu	22821739.07	7.60731579	.
Oahu_CentralPV_103_na	.	CentralPV	Oahu	22909474.81	0.88592652	.
Oahu_CentralPV_104_na	.	CentralPV	Oahu	23210424.0	1.781721603	.
Oahu_CentralPV_105_na	.	CentralPV	Oahu	23421089.08	2.70960104	.
Oahu_CentralPV_106_na	.	CentralPV	Oahu	29239070.89	0.197217	.
Oahu_CentralPV_107_na	.	CentralPV	Oahu	29874064.97	6.788363032	.
Oahu_CentralPV_108_na	.	CentralPV	Oahu	30520997.03	86.68294672	.
Oahu_CentralPV_109_na	.	CentralPV	Oahu	31185636.82	84.00552545	.
Oahu_CentralPV_10_na	.	CentralPV	Oahu	32157313.83	0.76149036	.
Oahu_CentralPV_110_na	.	CentralPV	Oahu	31874621.16	87.7907193	.
Oahu_CentralPV_111_na	.	CentralPV	Oahu	32571588.15	21.71281608	.
Oahu_CentralPV_112_na	.	CentralPV	Oahu	22044659.88	6.48239274	.
Oahu_CentralPV_113_na	.	CentralPV	Oahu	21912954.64	10.39073283	.
Oahu_CentralPV_114_na	.	CentralPV	Oahu	21780754.58	0.604739172	.
Oahu_CentralPV_115_na	.	CentralPV	Oahu	21782529.71	0.576	.
Oahu_CentralPV_116_na	.	CentralPV	Oahu	21828811.16	8.00866683	.
Oahu_CentralPV_117_na	.	CentralPV	Oahu	21920583.48	30.96552035	.
Oahu_CentralPV_118_na	.	CentralPV	Oahu	22055256.41	9.773283737	.
Oahu_CentralPV_119_na	.	CentralPV	Oahu	28471655.88	0.027	.
Oahu_CentralPV_11_na	.	CentralPV	Oahu	32459811.68	35.47722385	.
Oahu_CentralPV_120_na	.	CentralPV	Oahu	29123435.48	7.157959359	.
Oahu_CentralPV_121_na	.	CentralPV	Oahu	29786721.6	64.77483338	.
Oahu_CentralPV_122_na	.	CentralPV	Oahu	30467429.53	44.65763559	.
Oahu_CentralPV_123_na	.	CentralPV	Oahu	31172337.46	55.18927886	.
Oahu_CentralPV_124_na	.	CentralPV	Oahu	31884703.35	18.24929149	.
Oahu_CentralPV_125_na	.	CentralPV	Oahu	21742789.79	0.7382484	.
Oahu_CentralPV_126_na	.	CentralPV	Oahu	21244491.42	0.90782145	.
Oahu_CentralPV_127_na	.	CentralPV	Oahu	21061824.84	10.48968077	.
Oahu_CentralPV_128_na	.	CentralPV	Oahu	20923994.88	0.288	.
Oahu_CentralPV_129_na	.	CentralPV	Oahu	20831119.17	1.49725512	.
Oahu_CentralPV_12_na	.	CentralPV	Oahu	32792978.77	24.52556394	.
Oahu_CentralPV_130_na	.	CentralPV	Oahu	20785629.96	4.036005708	.
Oahu_CentralPV_131_na	.	CentralPV	Oahu	20787551.66	3.69	.
Oahu_CentralPV_132_na	.	CentralPV	Oahu	20836104.88	1.77738894	.
Oahu_CentralPV_133_na	.	CentralPV	Oahu	20932292.05	1.79998654	.
Oahu_CentralPV_134_na	.	CentralPV	Oahu	21073342.93	7.291984037	.
Oahu_CentralPV_135_na	.	CentralPV	Oahu	28387816.24	4.40542818	.
Oahu_CentralPV_136_na	.	CentralPV	Oahu	29067938.86	81.89267781	.
Oahu_CentralPV_137_na	.	CentralPV	Oahu	29765134.33	73.37438375	.
Oahu_CentralPV_138_na	.	CentralPV	Oahu	30486329.58	74.94700627	.
Oahu_CentralPV_139_na	.	CentralPV	Oahu	31214398.29	53.22221527	.
Oahu_CentralPV_13_na	.	CentralPV	Oahu	33148604.37	0.172286595	.
Oahu_CentralPV_140_na	.	CentralPV	Oahu	31956255.14	0.000112569	.
Oahu_CentralPV_141_na	.	CentralPV	Oahu	20793189.65	1.59392628	.
Oahu_CentralPV_142_na	.	CentralPV	Oahu	20271682.05	0.96944688	.
Oahu_CentralPV_143_na	.	CentralPV	Oahu	20080228.15	3.601611225	.
Oahu_CentralPV_144_na	.	CentralPV	Oahu	19790524.37	3.6662103	.
Oahu_CentralPV_145_na	.	CentralPV	Oahu	19792604.35	11.95765344	.
Oahu_CentralPV_146_na	.	CentralPV	Oahu	26981401.94	1.885182435	.
Oahu_CentralPV_147_na	.	CentralPV	Oahu	27668404.74	41.73899517	.
Oahu_CentralPV_148_na	.	CentralPV	Oahu	28365826.77	57.42432083	.
Oahu_CentralPV_149_na	.	CentralPV	Oahu	29079904.31	61.83877205	.
Oahu_CentralPV_14_na	.	CentralPV	Oahu	33939245.97	1.38955761	.
Oahu_CentralPV_150_na	.	CentralPV	Oahu	29817721.11	65.26664696	.
Oahu_CentralPV_151_na	.	CentralPV	Oahu	30561764.13	69.70563723	.
Oahu_CentralPV_152_na	.	CentralPV	Oahu	31319124.81	37.02895431	.
Oahu_CentralPV_153_na	.	CentralPV	Oahu	32097575.93	36.28939003	.
Oahu_CentralPV_154_na	.	CentralPV	Oahu	32878941.56	4.327618095	.
Oahu_CentralPV_155_na	.	CentralPV	Oahu	19848088.03	1.167302205	.
Oahu_CentralPV_156_na	.	CentralPV	Oahu	19552991.11	2.468637831	.
Oahu_CentralPV_157_na	.	CentralPV	Oahu	19301180.38	8.140174001	.
Oahu_CentralPV_158_na	.	CentralPV	Oahu	19100061.07	4.331463238	.
Oahu_CentralPV_159_na	.	CentralPV	Oahu	18845607.35	0.009	.
Oahu_CentralPV_15_na	.	CentralPV	Oahu	37974571.5	16.00242995	.
Oahu_CentralPV_160_na	.	CentralPV	Oahu	18795441.15	0.99	.
Oahu_CentralPV_161_na	.	CentralPV	Oahu	18797692.98	0.54913626	.
Oahu_CentralPV_162_na	.	CentralPV	Oahu	21491442.15	0.351	.
Oahu_CentralPV_163_na	.	CentralPV	Oahu	24924500.65	0.84470094	.
Oahu_CentralPV_164_na	.	CentralPV	Oahu	25582558.14	0.78910686	.
Oahu_CentralPV_165_na	.	CentralPV	Oahu	26261093.19	16.62157905	.
Oahu_CentralPV_166_na	.	CentralPV	Oahu	26966498.42	54.30962328	.
Oahu_CentralPV_167_na	.	CentralPV	Oahu	27681654.09	42.76188601	.
Oahu_CentralPV_168_na	.	CentralPV	Oahu	28412974.39	68.25163483	.
Oahu_CentralPV_169_na	.	CentralPV	Oahu	29167708.84	53.42957299	.
Oahu_CentralPV_16_na	.	CentralPV	Oahu	38561096.66	15.83090972	.
Oahu_CentralPV_170_na	.	CentralPV	Oahu	29927957.14	53.73607207	.
Oahu_CentralPV_171_na	.	CentralPV	Oahu	30700997.07	66.10311149	.
Oahu_CentralPV_172_na	.	CentralPV	Oahu	31494769.5	77.15095083	.
Oahu_CentralPV_173_na	.	CentralPV	Oahu	32290763.15	57.35481503	.
Oahu_CentralPV_174_na	.	CentralPV	Oahu	18908159.81	0.984589965	.
Oahu_CentralPV_176_na	.	CentralPV	Oahu	18333353.24	17.23947773	.
Oahu_CentralPV_177_na	.	CentralPV	Oahu	18121555.94	14.8191091	.
Oahu_CentralPV_178_na	.	CentralPV	Oahu	17802823.96	1.215	.
Oahu_CentralPV_179_na	.	CentralPV	Oahu	17859688.76	0.063	.
Oahu_CentralPV_17_na	.	CentralPV	Oahu	31207675.19	44.56025235	.
Oahu_CentralPV_180_na	.	CentralPV	Oahu	17972009.93	0.009	.
Oahu_CentralPV_181_na	.	CentralPV	Oahu	18354771.15	0.018	.
Oahu_CentralPV_182_na	.	CentralPV	Oahu	20627452.01	0.99668367	.
Oahu_CentralPV_183_na	.	CentralPV	Oahu	21148783.98	23.87968515	.
Oahu_CentralPV_184_na	.	CentralPV	Oahu	21697014.05	15.39924867	.
Oahu_CentralPV_185_na	.	CentralPV	Oahu	24183757.89	1.469723546	.
Oahu_CentralPV_186_na	.	CentralPV	Oahu	24861475.97	21.62721817	.
Oahu_CentralPV_187_na	.	CentralPV	Oahu	25559206.17	57.89772004	.
Oahu_CentralPV_188_na	.	CentralPV	Oahu	26283499.98	47.66139727	.
Oahu_CentralPV_189_na	.	CentralPV	Oahu	27016783.98	47.4880411	.
Oahu_CentralPV_18_na	.	CentralPV	Oahu	31519346.86	61.71450093	.
Oahu_CentralPV_190_na	.	CentralPV	Oahu	27765663.54	81.26394247	.
Oahu_CentralPV_191_na	.	CentralPV	Oahu	28537563.72	29.82053381	.
Oahu_CentralPV_192_na	.	CentralPV	Oahu	29314198.74	60.58812559	.
Oahu_CentralPV_193_na	.	CentralPV	Oahu	30103042.73	50.15788865	.
Oahu_CentralPV_194_na	.	CentralPV	Oahu	30912211.65	83.06029352	.
Oahu_CentralPV_195_na	.	CentralPV	Oahu	31722863.19	62.74324836	.
Oahu_CentralPV_196_na	.	CentralPV	Oahu	32543148.53	33.41998035	.
Oahu_CentralPV_197_na	.	CentralPV	Oahu	17647933.53	3.896210988	.
Oahu_CentralPV_198_na	.	CentralPV	Oahu	17368648.11	14.19491247	.
Oahu_CentralPV_199_na	.	CentralPV	Oahu	17144997.69	25.94195311	.
Oahu_CentralPV_19_na	.	CentralPV	Oahu	31862408.08	2.259935315	.
Oahu_CentralPV_1_na	.	CentralPV	Oahu	34664844.98	0.14408937	.
Oahu_CentralPV_200_na	.	CentralPV	Oahu	16975659.69	10.55095342	.
Oahu_CentralPV_201_na	.	CentralPV	Oahu	16861319.32	4.84973427	.
Oahu_CentralPV_202_na	.	CentralPV	Oahu	16808005.17	7.100636355	.
Oahu_CentralPV_203_na	.	CentralPV	Oahu	16868285.82	1.257238935	.
Oahu_CentralPV_204_na	.	CentralPV	Oahu	16987225.82	2.060808709	.
Oahu_CentralPV_205_na	.	CentralPV	Oahu	17160998.9	5.346976426	.
Oahu_CentralPV_206_na	.	CentralPV	Oahu	17391795.44	19.46150893	.
Oahu_CentralPV_207_na	.	CentralPV	Oahu	17672369.07	13.31996961	.
Oahu_CentralPV_208_na	.	CentralPV	Oahu	18002550.7	23.50372037	.
Oahu_CentralPV_209_na	.	CentralPV	Oahu	18384160.37	17.57133226	.
Oahu_CentralPV_20_na	.	CentralPV	Oahu	32228361.24	3.04862346	.
Oahu_CentralPV_210_na	.	CentralPV	Oahu	18805866.91	12.56262169	.
Oahu_CentralPV_211_na	.	CentralPV	Oahu	19274182.33	0.162	.
Oahu_CentralPV_212_na	.	CentralPV	Oahu	19775780.18	3.002822595	.
Oahu_CentralPV_213_na	.	CentralPV	Oahu	20319028.87	35.9869106	.
Oahu_CentralPV_214_na	.	CentralPV	Oahu	20889098.5	33.9744553	.
Oahu_CentralPV_215_na	.	CentralPV	Oahu	22777540.94	25.95464633	.
Oahu_CentralPV_216_na	.	CentralPV	Oahu	23461816.87	78.05769627	.
Oahu_CentralPV_217_na	.	CentralPV	Oahu	24159839.94	85.91602356	.
Oahu_CentralPV_218_na	.	CentralPV	Oahu	24877300.45	42.80608749	.
Oahu_CentralPV_219_na	.	CentralPV	Oahu	25620921.87	63.33672121	.
Oahu_CentralPV_21_na	.	CentralPV	Oahu	36585770.42	0.122359783	.
