load_zone	fuel	period	fuel_cost
Oahu	Biocrude	2021	39.7863773954
Oahu	Biocrude	2029	32.2865146706
Oahu	Biocrude	2037	29.0800798182
Oahu	Biocrude	2045	29.0800798182
Oahu	Biodiesel	2021	36.4449770398
Oahu	Biodiesel	2029	28.6063332526
Oahu	Biodiesel	2037	25.3004067826
Oahu	Biodiesel	2045	25.3004067826
Oahu	Coal	2021	2.49376253636
Oahu	Coal	2029	2.21660157712
Oahu	Coal	2037	2.0799422099
Oahu	Coal	2045	2.0799422099
Oahu	High-Sulfur-Diesel	2021	23.0190148368
Oahu	High-Sulfur-Diesel	2029	24.7279882199
Oahu	High-Sulfur-Diesel	2037	26.2812973689
Oahu	High-Sulfur-Diesel	2045	27.9112516888
Oahu	LNG	2021	15.2363544731
Oahu	LNG	2029	15.7416221517
Oahu	LNG	2037	20.2965121883
Oahu	LNG	2045	23.3898157394
Oahu	LSFO	2021	20.0828940082
Oahu	LSFO	2029	21.8192294453
Oahu	LSFO	2037	23.3978001395
Oahu	LSFO	2045	25.0490200157
Oahu	ULSD	2021	24.2305419335
Oahu	ULSD	2029	25.9417403606
Oahu	ULSD	2037	27.4986548461
Oahu	ULSD	2045	29.1372816188
