LOAD_ZONE	TIMEPOINT	lz_demand_mw
Oahu	3701007080	501.493194883
Oahu	3701017080	456.862053584
Oahu	3701027080	433.946307455
Oahu	3701037080	448.472686221
Oahu	3701047080	517.921316157
Oahu	3701057080	672.154189411
Oahu	3701067080	813.776009693
Oahu	3701077080	889.415572567
Oahu	3701087080	959.633098872
Oahu	3701097080	1018.4533418
Oahu	3701107080	1041.92213352
Oahu	3701117080	1053.65644706
Oahu	3701127080	1053.23824647
Oahu	3701137080	1036.32466675
Oahu	3701147080	1027.00455609
Oahu	3701157080	1023.21440739
Oahu	3701167080	1029.93146632
Oahu	3701177080	1086.5531925
Oahu	3701187080	1100.13532701
Oahu	3701197080	1030.21465727
Oahu	3701207080	941.316571409
Oahu	3701217080	817.309887041
Oahu	3701227080	674.878749821
Oahu	3701237080	547.742805414
Oahu	2901007280	505.346417145
Oahu	2901017280	450.84469787
Oahu	2901027280	422.615123899
Oahu	2901037280	412.584239287
Oahu	2901047280	432.430036272
Oahu	2901057280	483.340485768
Oahu	2901067280	550.357141206
Oahu	2901077280	641.512752584
Oahu	2901087280	765.218124319
Oahu	2901097280	844.250202867
Oahu	2901107280	879.135611112
Oahu	2901117280	893.10862769
Oahu	2901127280	889.517522713
Oahu	2901137280	889.328495503
Oahu	2901147280	882.281175496
Oahu	2901157280	896.281219505
Oahu	2901167280	916.586070798
Oahu	2901177280	976.757864753
Oahu	2901187280	1040.35884631
Oahu	2901197280	972.437760768
Oahu	2901207280	885.264822501
Oahu	2901217280	779.366654392
Oahu	2901227280	635.019000491
Oahu	2901237280	511.799628094
Oahu	4501007301	477.565864324
Oahu	3701007301	477.565864324
Oahu	2901007301	479.843894395
Oahu	2101007301	495.050249072
Oahu	4501017301	425.813211441
Oahu	3701017301	425.813211441
Oahu	2901017301	428.042363711
Oahu	2101017301	444.61670081
Oahu	4501027301	410.477598059
Oahu	3701027301	410.477598059
Oahu	2901027301	412.692266607
Oahu	2101027301	429.671971322
Oahu	4501037301	449.551693149
Oahu	3701037301	449.551693149
Oahu	2901037301	451.803265232
Oahu	2101037301	467.750120958
Oahu	4501047301	534.349437431
Oahu	3701047301	534.349437431
Oahu	2901047301	536.681096756
Oahu	2101047301	550.386486256
Oahu	4501057301	701.449717329
Oahu	3701057301	701.449717329
Oahu	2901057301	703.939194537
Oahu	2101057301	713.227607656
Oahu	4501067301	876.804519595
Oahu	3701067301	876.804519595
Oahu	2901067301	879.459610671
Oahu	2101067301	884.112854893
Oahu	4501077301	910.524000614
Oahu	3701077301	910.524000614
Oahu	2901077301	913.210938059
Oahu	2101077301	916.972872277
Oahu	4501087301	975.521593197
Oahu	3701087301	975.521593197
Oahu	2901087301	978.269917628
Oahu	2101087301	980.31376477
Oahu	4501097301	1010.76520134
Oahu	3701097301	1010.76520134
Oahu	2901097301	1013.54681161
Oahu	2101097301	1014.65906136
Oahu	4501107301	1020.96205144
Oahu	3701107301	1020.96205144
Oahu	2901107301	1023.75329211
Oahu	2101107301	1024.59600763
Oahu	4501117301	1040.84304427
Oahu	3701117301	1040.84304427
Oahu	2901117301	1043.65306156
Oahu	2101117301	1043.97026104
Oahu	4501127301	1050.94538761
Oahu	3701127301	1050.94538761
Oahu	2901127301	1053.76494606
Oahu	2101127301	1053.81510942
Oahu	4501137301	1035.07022961
Oahu	3701137301	1035.07022961
Oahu	2901137301	1037.87479476
Oahu	2101137301	1038.34458756
Oahu	4501147301	1035.98747193
Oahu	3701147301	1035.98747193
Oahu	2901147301	1038.79290337
Oahu	2101147301	1039.23845063
Oahu	4501157301	1027.70594764
Oahu	3701157301	1027.70594764
Oahu	2901157301	1030.50355759
Oahu	2101157301	1031.16801111
Oahu	4501167301	1030.848544
Oahu	3701167301	1030.848544
Oahu	2901167301	1033.64912197
Oahu	2101167301	1034.23050696
Oahu	4501177301	1068.58736081
Oahu	3701177301	1068.58736081
Oahu	2901177301	1071.42358122
Oahu	2101177301	1071.00741275
Oahu	4501187301	1160.4123569
Oahu	3701187301	1160.4123569
Oahu	2901187301	1163.33530144
Oahu	2101187301	1160.49191477
Oahu	4501197301	1075.87080164
Oahu	3701197301	1075.87080164
Oahu	2901197301	1078.7139009
Oahu	2101197301	1078.10520859
Oahu	4501207301	966.902874091
Oahu	3701207301	966.902874091
Oahu	2901207301	969.643058571
Oahu	2101207301	971.914725073
Oahu	4501217301	839.605165084
Oahu	3701217301	839.605165084
Oahu	2901217301	842.225123224
Oahu	2101217301	847.861661253
Oahu	4501227301	683.956007768
Oahu	3701227301	683.956007768
Oahu	2901227301	686.42896304
Oahu	2101227301	696.179788921
Oahu	4501237301	555.430863551
Oahu	3701237301	555.430863551
Oahu	2901237301	557.782433231
Oahu	2101237301	570.930575543
Oahu	2102007170	538.267750353
Oahu	2102017170	487.873592395
Oahu	2102027170	462.518831863
Oahu	2102037170	460.494603448
Oahu	2102047170	477.161274863
Oahu	2102057170	549.900164417
Oahu	2102067170	648.361965431
Oahu	2102077170	776.029631163
Oahu	2102087170	884.572863047
Oahu	2102097170	944.338704381
Oahu	2102107170	963.896912921
Oahu	2102117170	953.618370081
Oahu	2102127170	928.329313539
Oahu	2102137170	902.659029451
Oahu	2102147170	893.642259935
Oahu	2102157170	894.273146597
Oahu	2102167170	905.642744701
Oahu	2102177170	918.852455644
Oahu	2102187170	971.63875227
Oahu	2102197170	930.208896906
Oahu	2102207170	869.917343429
Oahu	2102217170	793.826667921
Oahu	2102227170	687.964784575
Oahu	2102237170	580.48629427
Oahu	4502007180	480.627537221
Oahu	4502017180	432.611029178
Oahu	4502027180	400.46959682
Oahu	4502037180	394.319166775
Oahu	4502047180	410.045978823
Oahu	4502057180	461.771629778
Oahu	4502067180	527.173921992
Oahu	4502077180	628.979835065
Oahu	4502087180	737.044021251
Oahu	4502097180	807.220962341
Oahu	4502107180	830.433482711
Oahu	4502117180	830.851600983
Oahu	4502127180	820.236714943
Oahu	4502137180	813.034197576
Oahu	4502147180	811.429146986
Oahu	4502157180	825.537407481
Oahu	4502167180	846.686256098
Oahu	4502177180	866.742596822
Oahu	4502187180	932.063965574
Oahu	4502197180	882.833523286
Oahu	4502207180	824.63374844
Oahu	4502217180	752.285210207
Oahu	4502227180	643.883829211
Oahu	4502237180	531.65187895
Oahu	2902007200	450.574753172
Oahu	2902017200	408.385593936
Oahu	2902027200	395.938061547
Oahu	2902037200	406.522514073
Oahu	2902047200	492.858426012
Oahu	2902057200	665.908221908
Oahu	2902067200	832.140266153
Oahu	2902077200	862.475919657
Oahu	2902087200	921.85122843
Oahu	2902097200	961.799335783
Oahu	2902107200	981.442674243
Oahu	2902117200	992.513043706
Oahu	2902127200	982.698131333
Oahu	2902137200	980.794510324
Oahu	2902147200	974.62484019
Oahu	2902157200	967.672033788
Oahu	2902167200	961.245767869
Oahu	2902177200	969.697113432
Oahu	2902187200	1070.99163674
Oahu	2902197200	1008.36265386
Oahu	2902207200	917.30155609
Oahu	2902217200	809.931876251
Oahu	2902227200	655.931309756
Oahu	2902237200	519.575947108
Oahu	4503007121	506.092495872
Oahu	3703007121	506.092495872
Oahu	2903007121	508.397467925
Oahu	2103007121	522.849775644
Oahu	4503017121	463.619450752
Oahu	3703017121	463.619450752
Oahu	2903017121	465.884309131
Oahu	2103017121	481.459310584
Oahu	4503027121	445.087237155
Oahu	3703027121	445.087237155
Oahu	2903027121	447.334592782
Oahu	2103027121	463.399457866
Oahu	4503037121	459.856386306
Oahu	3703037121	459.856386306
Oahu	2903037121	462.117690658
Oahu	2103037121	477.792161525
Oahu	4503047121	545.503868096
Oahu	3703047121	545.503868096
Oahu	2903047121	547.846062224
Oahu	2103047121	561.256605679
Oahu	4503057121	715.557977824
Oahu	3703057121	715.557977824
Oahu	2903057121	718.060779581
Oahu	2103057121	726.97626781
Oahu	4503067121	886.866360044
Oahu	3703067121	886.866360044
Oahu	2903067121	889.530954027
Oahu	2103067121	893.918232737
Oahu	4503077121	944.175976813
Oahu	3703077121	944.175976813
Oahu	2903077121	946.894696872
Oahu	2103077121	949.767105446
Oahu	4503087121	1019.82912297
Oahu	3703087121	1019.82912297
Oahu	2903087121	1022.61929366
Oahu	2103087121	1023.49195597
Oahu	4503097121	1067.31958735
Oahu	3703097121	1067.31958735
Oahu	2903097121	1070.15461041
Oahu	2103097121	1069.77195311
Oahu	4503107121	1091.00406521
Oahu	3703107121	1091.00406521
Oahu	2903107121	1093.86145707
Oahu	2103107121	1092.85274589
Oahu	4503117121	1099.59578239
Oahu	3703117121	1099.59578239
Oahu	2903117121	1102.4612887
Oahu	2103117121	1101.2254719
Oahu	4503127121	1114.99890059
Oahu	3703127121	1114.99890059
Oahu	2903127121	1117.87895438
Oahu	2103127121	1116.2359856
Oahu	4503137121	1107.21641802
Oahu	3703137121	1107.21641802
Oahu	2903137121	1110.08912165
Oahu	2103137121	1108.65186792
Oahu	4503147121	1101.82130106
Oahu	3703147121	1101.82130106
Oahu	2903147121	1104.68890927
Oahu	2103147121	1103.39426514
Oahu	4503157121	1081.46826842
Oahu	3703157121	1081.46826842
Oahu	2903157121	1084.3166542
Oahu	2103157121	1083.56000357
Oahu	4503167121	1066.98239254
Oahu	3703167121	1066.98239254
Oahu	2903167121	1069.81709714
Oahu	2103167121	1069.44335294
Oahu	4503177121	1094.0388185
Oahu	3703177121	1094.0388185
Oahu	2903177121	1096.89907654
Oahu	2103177121	1095.81014745
Oahu	4503187121	1145.06324255
Oahu	3703187121	1145.06324255
Oahu	2903187121	1147.97169062
Oahu	2103187121	1145.53402844
Oahu	4503197121	1107.93131054
Oahu	3703197121	1107.93131054
Oahu	2903197121	1110.80468934
Oahu	2103197121	1109.34853879
Oahu	4503207121	1017.59010333
Oahu	3703207121	1017.59010333
Oahu	2903207121	1020.37815937
Oahu	2103207121	1021.31000589
Oahu	4503217121	893.407988756
Oahu	3703217121	893.407988756
Oahu	2903217121	896.078760981
Oahu	2103217121	900.293124244
Oahu	4503227121	727.009100407
Oahu	3703227121	727.009100407
Oahu	2903227121	729.522717178
Oahu	2103227121	738.135516878
Oahu	4503237121	592.616717098
Oahu	3703237121	592.616717098
Oahu	2903237121	595.003406963
Oahu	2103237121	607.16861234
Oahu	3704007091	459.303340717
Oahu	2904007091	461.564122745
Oahu	2104007091	477.253212314
Oahu	4504007091	459.303340717
Oahu	3704017091	419.177158304
Oahu	2904017091	421.400043153
Oahu	2104017091	438.149791627
Oahu	4504017091	419.177158304
Oahu	3704027091	404.09781627
Oahu	2904027091	406.306459433
Oahu	2104027091	423.45480148
Oahu	4504027091	404.09781627
Oahu	3704037091	417.828379063
Oahu	2904037091	420.049990057
Oahu	2104037091	436.835390932
Oahu	4504037091	417.828379063
Oahu	3704047091	497.312012166
Oahu	2904047091	499.608691489
Oahu	2104047091	514.293094506
Oahu	4504047091	497.312012166
Oahu	3704057091	663.926668972
Oahu	2904057091	666.380707532
Oahu	2104057091	676.660970685
Oahu	4504057091	663.926668972
Oahu	3704067091	823.055617456
Oahu	2904067091	825.659945374
Oahu	2104067091	831.733939049
Oahu	4504067091	823.055617456
Oahu	3704077091	906.126967118
Oahu	2904077091	908.809751783
Oahu	2104077091	912.687913174
Oahu	4504077091	906.126967118
Oahu	3704087091	975.885789936
Oahu	2904087091	978.634458332
Oahu	2104087091	980.668678629
Oahu	4504087091	975.885789936
Oahu	3704097091	1019.76161815
Oahu	2904097091	1022.55172508
Oahu	2104097091	1023.42617176
Oahu	4504097091	1019.76161815
Oahu	3704107091	1058.22882844
Oahu	2904107091	1061.05526573
Oahu	2104107091	1060.91290526
Oahu	4504107091	1058.22882844
Oahu	3704117091	1071.64911603
Oahu	2904117091	1074.48822811
Oahu	2104117091	1073.991128
Oahu	4504117091	1071.64911603
Oahu	3704127091	1086.9308902
Oahu	2904127091	1089.78443516
Oahu	2104127091	1088.88339056
Oahu	4504127091	1086.9308902
Oahu	3704137091	1086.98472941
Oahu	2904137091	1089.83832522
Oahu	2104137091	1088.93585749
Oahu	4504137091	1086.98472941
Oahu	3704147091	1083.24858457
Oahu	2904147091	1086.09865178
Oahu	2104147091	1085.29494189
Oahu	4504147091	1083.24858457
Oahu	3704157091	1073.25424894
Oahu	2904157091	1076.09487699
Oahu	2104157091	1075.55534826
Oahu	4504157091	1073.25424894
Oahu	3704167091	1053.2247455
Oahu	2904167091	1056.04645669
Oahu	2104167091	1056.03636957
Oahu	4504167091	1053.2247455
Oahu	3704177091	1040.27649772
Oahu	2904177091	1043.08597993
Oahu	2104177091	1043.41815499
Oahu	4504177091	1040.27649772
Oahu	3704187091	1097.59961545
Oahu	2904187091	1100.46323649
Oahu	2104187091	1099.28018454
Oahu	4504187091	1097.59961545
