TIMESERIES	ts_period	ts_duration_of_tp	ts_num_tps	ts_scale_to_period
210702170	2021	2.0	12	456.0
210704091	2021	2.0	12	16.0
210704100	2021	2.0	12	472.0
210706051	2021	2.0	12	16.0
210708060	2021	2.0	12	480.0
210708301	2021	2.0	12	16.0
210710130	2021	2.0	12	472.0
210710221	2021	2.0	12	16.0
210712041	2021	2.0	12	16.0
210712140	2021	2.0	12	472.0
210802061	2021	2.0	12	16.0
210806150	2021	2.0	12	472.0
290702200	2029	2.0	12	456.0
290704091	2029	2.0	12	16.0
290704220	2029	2.0	12	472.0
290706051	2029	2.0	12	16.0
290708301	2029	2.0	12	16.0
290710180	2029	2.0	12	472.0
290710221	2029	2.0	12	16.0
290712041	2029	2.0	12	16.0
290712310	2029	2.0	12	472.0
290802061	2029	2.0	12	16.0
290806170	2029	2.0	12	472.0
290808240	2029	2.0	12	480.0
370704091	2037	2.0	12	16.0
370704160	2037	2.0	12	472.0
370706051	2037	2.0	12	16.0
370706270	2037	2.0	12	472.0
370708301	2037	2.0	12	16.0
370710221	2037	2.0	12	16.0
370710310	2037	2.0	12	472.0
370712041	2037	2.0	12	16.0
370712160	2037	2.0	12	472.0
370802061	2037	2.0	12	16.0
370802170	2037	2.0	12	456.0
370808150	2037	2.0	12	480.0
450702180	2045	2.0	12	456.0
450704091	2045	2.0	12	16.0
450706051	2045	2.0	12	16.0
450706230	2045	2.0	12	472.0
450708120	2045	2.0	12	480.0
450708301	2045	2.0	12	16.0
450710120	2045	2.0	12	472.0
450710221	2045	2.0	12	16.0
450712041	2045	2.0	12	16.0
450802061	2045	2.0	12	16.0
450804160	2045	2.0	12	472.0
450812250	2045	2.0	12	472.0
