timepoint_label	lz_demand_mw_as_consumption	DumpPower	LZ_NetDispatch
2007-01-30-00:00	-682.140014648438	0.0	682.140014648438
2007-01-30-01:00	-643.77001953125	0.0	643.77001953125
2007-01-30-02:00	-632.400024414062	0.0	632.400024414062
2007-01-30-03:00	-661.369995117188	0.0	661.369995117188
2007-01-30-04:00	-724.239990234375	0.0	724.239990234375
2007-01-30-05:00	-848.130004882812	0.0	848.130004882812
2007-01-30-06:00	-978.140014648438	0.0	978.1400146484377
2007-01-30-07:00	-1003.14001464844	0.0	1003.1400146484398
2007-01-30-08:00	-1051.32995605469	0.0	1051.3299560546898
2007-01-30-09:00	-1077.4599609375	0.0	1077.4599609375
2007-01-30-10:00	-1085.02001953125	0.0	1085.0200195312498
2007-01-30-11:00	-1099.76000976562	0.0	1099.76000976562
2007-01-30-12:00	-1107.25	0.0	1107.2499999999998
2007-01-30-13:00	-1095.47998046875	0.0	1095.47998046875
2007-01-30-14:00	-1096.16003417969	0.0	1096.1600341796898
2007-01-30-15:00	-1090.02001953125	0.0	1090.0200195312498
2007-01-30-16:00	-1092.34997558594	0.0	1092.3499755859398
2007-01-30-17:00	-1120.32995605469	0.0	1120.32995605469
2007-01-30-18:00	-1188.41003417969	0.0	1188.4100341796898
2007-01-30-19:00	-1125.72998046875	0.0	1125.7299804687498
2007-01-30-20:00	-1044.93994140625	0.0	1044.9399414062498
2007-01-30-21:00	-950.559997558594	0.0	950.559997558594
2007-01-30-22:00	-835.159973144531	0.0	835.1599731445308
2007-01-30-23:00	-739.869995117188	0.0	739.869995117188
2007-02-17-00:00	-715.02001953125	0.0	715.0200195312498
2007-02-17-01:00	-676.679992675781	0.0	676.679992675781
2007-02-17-02:00	-657.390014648438	0.0	657.390014648438
2007-02-17-03:00	-655.849975585938	0.0	655.849975585938
2007-02-17-04:00	-668.530029296875	0.0	668.530029296875
2007-02-17-05:00	-723.869995117188	0.0	723.869995117188
2007-02-17-06:00	-798.780029296875	0.0	798.780029296875
2007-02-17-07:00	-895.909973144531	0.0	895.909973144531
2007-02-17-08:00	-978.489990234375	0.0	978.4899902343748
2007-02-17-09:00	-1023.96002197266	0.0	1023.9600219726599
2007-02-17-10:00	-1038.83996582031	0.0	1038.8399658203098
2007-02-17-11:00	-1031.02001953125	0.0	1031.02001953125
2007-02-17-12:00	-1011.78002929688	0.0	1011.7800292968798
2007-02-17-13:00	-992.25	0.0	992.25
2007-02-17-14:00	-985.390014648438	0.0	985.3900146484377
2007-02-17-15:00	-985.869995117188	0.0	985.8699951171877
2007-02-17-16:00	-994.52001953125	0.0	994.5200195312498
2007-02-17-17:00	-1004.57000732422	0.0	1004.5700073242199
2007-02-17-18:00	-1044.72998046875	0.0	1044.7299804687498
2007-02-17-19:00	-1013.21002197266	0.0	1013.2100219726601
2007-02-17-20:00	-967.340026855469	0.0	967.3400268554688
2007-02-17-21:00	-909.450012207031	0.0	909.4500122070308
2007-02-17-22:00	-828.909973144531	0.0	828.9099731445308
2007-02-17-23:00	-747.140014648438	0.0	747.1400146484377
2007-03-12-00:00	-703.289978027344	0.0	703.2899780273438
2007-03-12-01:00	-671.799987792969	0.0	671.7999877929691
2007-03-12-02:00	-658.059997558594	0.0	658.059997558594
2007-03-12-03:00	-669.010009765625	0.0	669.010009765625
2007-03-12-04:00	-732.510009765625	0.0	732.5100097656248
2007-03-12-05:00	-858.590026855469	0.0	858.590026855469
2007-03-12-06:00	-985.599975585938	0.0	985.5999755859377
2007-03-12-07:00	-1028.08996582031	0.0	1028.0899658203098
2007-03-12-08:00	-1084.18005371094	0.0	1084.1800537109398
2007-03-12-09:00	-1119.39001464844	0.0	1119.39001464844
2007-03-12-10:00	-1136.94995117188	0.0	1136.9499511718798
2007-03-12-11:00	-1143.31994628906	0.0	1143.3199462890598
2007-03-12-12:00	-1154.73999023438	0.0	1154.7399902343798
2007-03-12-13:00	-1148.96997070312	0.0	1148.96997070312
2007-03-12-14:00	-1144.96997070312	0.0	1144.9699707031198
2007-03-12-15:00	-1129.88000488281	0.0	1129.8800048828098
2007-03-12-16:00	-1119.14001464844	0.0	1119.1400146484398
2007-03-12-17:00	-1139.19995117188	0.0	1139.19995117188
2007-03-12-18:00	-1177.03002929688	0.0	1177.0300292968798
2007-03-12-19:00	-1149.5	0.0	1149.4999999999998
2007-03-12-20:00	-1082.52001953125	0.0	1082.5200195312498
2007-03-12-21:00	-990.450012207031	0.0	990.4500122070308
2007-03-12-22:00	-867.080017089844	0.0	867.0800170898438
2007-03-12-23:00	-767.440002441406	0.0	767.4400024414058
2007-04-09-00:00	-668.599975585938	0.0	668.599975585938
2007-04-09-01:00	-638.849975585938	0.0	638.849975585938
2007-04-09-02:00	-627.669982910156	0.0	627.669982910156
2007-04-09-03:00	-637.849975585938	0.0	637.849975585938
2007-04-09-04:00	-696.780029296875	0.0	696.780029296875
2007-04-09-05:00	-820.309997558594	0.0	820.309997558594
2007-04-09-06:00	-938.289978027344	0.0	938.2899780273438
2007-04-09-07:00	-999.880004882812	0.0	999.8800048828118
2007-04-09-08:00	-1051.59997558594	0.0	1051.59997558594
2007-04-09-09:00	-1084.13000488281	0.0	1084.13000488281
